"month_id","case_id","count","departamento_std","violence_type","month_start"
"2023-02",NA,45,"bogota d.c.","homicide",2023-02-01
"2023-02",NA,47,"cauca","homicide",2023-02-01
"2023-02",NA,23,"cesar","homicide",2023-02-01
"2023-02",NA,21,"cordoba","homicide",2023-02-01
"2023-02",NA,23,"nariño","homicide",2023-02-01
"2023-02",NA,2,"san andres islas","homicide",2023-02-01
"2023-02",NA,22,"santander","homicide",2023-02-01
"2023-02",NA,15,"quindio","homicide",2023-02-01
"2023-02",NA,24,"sucre","homicide",2023-02-01
"2023-02",NA,17,"tolima","homicide",2023-02-01
"2023-02",NA,9,"cundinamarca","homicide",2023-02-01
"2023-02",NA,7,"choco","homicide",2023-02-01
"2023-02",NA,1,"amazonas","homicide",2023-02-01
"2023-02",NA,1,"casanare","homicide",2023-02-01
"2023-02",NA,3,"guaviare","homicide",2023-02-01
"2023-02",NA,5,"la guajira","homicide",2023-02-01
"2023-02",NA,8,"huila","homicide",2023-02-01
"2023-02",NA,1,"vichada","homicide",2023-02-01
"2023-02",NA,2,"putumayo","homicide",2023-02-01
"2023-02",NA,3,"caldas","homicide",2023-02-01
"2023-02","tumaco",2,"nariño","homicide",2023-02-01
"2023-02","buenaventura",1,"valle del cauca","homicide",2023-02-01
"2023-03",NA,80,"antioquia","homicide",2023-03-01
"2023-03","arauca",13,"arauca","homicide",2023-03-01
"2023-03",NA,50,"atlantico","homicide",2023-03-01
"2023-03",NA,50,"bogota d.c.","homicide",2023-03-01
"2023-03",NA,25,"cesar","homicide",2023-03-01
"2023-03",NA,30,"choco","homicide",2023-03-01
"2023-03",NA,24,"cordoba","homicide",2023-03-01
"2023-03",NA,12,"huila","homicide",2023-03-01
"2023-03",NA,9,"la guajira","homicide",2023-03-01
"2023-03",NA,10,"quindio","homicide",2023-03-01
"2023-03",NA,32,"santander","homicide",2023-03-01
"2023-03",NA,25,"tolima","homicide",2023-03-01
"2023-03",NA,136,"valle del cauca","homicide",2023-03-01
"2023-03",NA,47,"cauca","homicide",2023-03-01
"2023-03",NA,9,"guaviare","homicide",2023-03-01
"2023-03",NA,32,"magdalena","homicide",2023-03-01
"2023-03",NA,19,"meta","homicide",2023-03-01
"2023-03",NA,38,"norte de santander","homicide",2023-03-01
"2023-03",NA,17,"risaralda","homicide",2023-03-01
"2023-03",NA,22,"sucre","homicide",2023-03-01
"2023-03",NA,39,"bolivar","homicide",2023-03-01
"2023-03",NA,8,"caqueta","homicide",2023-03-01
"2023-03",NA,23,"cundinamarca","homicide",2023-03-01
"2023-03",NA,4,"caldas","homicide",2023-03-01
"2023-03",NA,19,"nariño","homicide",2023-03-01
"2023-03",NA,4,"casanare","homicide",2023-03-01
"2023-03",NA,3,"amazonas","homicide",2023-03-01
"2023-03","tumaco",4,"nariño","homicide",2023-03-01
"2023-03","buenaventura",2,"valle del cauca","homicide",2023-03-01
"2023-03",NA,4,"boyaca","homicide",2023-03-01
"2023-03",NA,9,"putumayo","homicide",2023-03-01
"2023-03",NA,4,"san andres islas","homicide",2023-03-01
"2023-04",NA,110,"antioquia","homicide",2023-04-01
"2023-04",NA,37,"atlantico","homicide",2023-04-01
"2023-04",NA,41,"bogota d.c.","homicide",2023-04-01
"2023-04",NA,10,"caqueta","homicide",2023-04-01
"2023-04",NA,44,"cauca","homicide",2023-04-01
"2023-04",NA,19,"choco","homicide",2023-04-01
"2023-04",NA,24,"cordoba","homicide",2023-04-01
"2023-04",NA,9,"huila","homicide",2023-04-01
"2023-04",NA,12,"quindio","homicide",2023-04-01
"2023-04",NA,22,"risaralda","homicide",2023-04-01
"2023-04",NA,22,"sucre","homicide",2023-04-01
"2023-04",NA,23,"tolima","homicide",2023-04-01
"2023-04",NA,139,"valle del cauca","homicide",2023-04-01
"2023-04",NA,4,"caldas","homicide",2023-04-01
"2023-04",NA,1,"guaviare","homicide",2023-04-01
"2023-04",NA,10,"la guajira","homicide",2023-04-01
"2023-04",NA,34,"magdalena","homicide",2023-04-01
